field_1,field_2,field_3,field_4,field_5,NIR_count,NIR_mean,NIR_median,R_count,R_mean,R_median,RE_count,RE_mean,RE_median,B_count,B_mean,B_median,G_count,G_mean,G_median
4,765190.375000000000000,6309180.024000000208616,20.765999999999998,11.000000000000000,243.000000000000000,22634.679012345673982,22212.000000000000000,243.000000000000000,9154.868312757202148,8934.000000000000000,243.000000000000000,24084.283950617282244,23360.000000000000000,243.000000000000000,57.411522633744859,54.000000000000000,243.000000000000000,16671.000000000000000,16078.000000000000000
5,765181.474999999976717,6309203.731999999843538,20.757999999999999,17.000000000000000,246.000000000000000,15597.914634146343815,14453.000000000000000,246.000000000000000,9096.130081300812890,8891.500000000000000,246.000000000000000,18608.894308943090437,17467.500000000000000,246.000000000000000,59.772357723577237,50.000000000000000,246.000000000000000,14389.658536585366164,14580.500000000000000
6,765175.180000000051223,6309203.224000000394881,20.785000000000000,13.000000000000000,242.000000000000000,22156.851239669420465,21808.500000000000000,242.000000000000000,11515.384297520660766,11170.000000000000000,242.000000000000000,24588.611570247932832,23819.000000000000000,242.000000000000000,61.619834710743802,59.000000000000000,242.000000000000000,17422.599173553717264,17317.000000000000000
7,765167.474000000045635,6309199.449000000022352,20.858000000000001,8.000000000000000,248.000000000000000,16099.560483870967801,15965.500000000000000,248.000000000000000,9716.911290322581408,9369.000000000000000,248.000000000000000,18428.048387096772785,17643.500000000000000,248.000000000000000,52.189516129032256,45.500000000000000,248.000000000000000,13399.342741935482991,12911.000000000000000
8,765159.726000000024214,6309196.968999999575317,20.803000000000001,7.000000000000000,241.000000000000000,16293.846473029043409,15972.000000000000000,241.000000000000000,10642.319502074687989,10240.000000000000000,241.000000000000000,19308.522821576763818,18440.000000000000000,241.000000000000000,55.713692946058089,48.000000000000000,241.000000000000000,14618.676348547718590,13942.000000000000000
9,765154.164000000106171,6309195.224999999627471,20.780999999999999,8.000000000000000,242.000000000000000,12046.301652892561833,11107.000000000000000,242.000000000000000,8871.392561983471751,8344.000000000000000,242.000000000000000,13942.595041322314501,11984.500000000000000,242.000000000000000,49.466942148760324,39.000000000000000,242.000000000000000,10928.198347107438167,9529.000000000000000
10,765143.427999999956228,6309196.661000000312924,20.788000000000000,7.000000000000000,246.000000000000000,18049.768292682925676,17330.500000000000000,246.000000000000000,11133.817073170732328,10792.000000000000000,246.000000000000000,21050.117886178861227,20494.500000000000000,246.000000000000000,54.191056910569102,51.000000000000000,246.000000000000000,14968.906504065040281,14321.000000000000000
11,765137.008999999961816,6309196.099000000394881,20.780000000000001,10.000000000000000,248.000000000000000,13706.032258064517009,13206.500000000000000,248.000000000000000,10552.298387096774604,10471.500000000000000,248.000000000000000,16715.173387096772785,15636.500000000000000,248.000000000000000,52.778225806451616,53.000000000000000,248.000000000000000,13310.745967741935601,12873.000000000000000
13,765117.846000000019558,6309203.259999999776483,20.800999999999998,10.000000000000000,245.000000000000000,8449.804081632653833,7753.000000000000000,245.000000000000000,8417.767346938775518,8036.000000000000000,245.000000000000000,9736.808163265306575,8629.000000000000000,245.000000000000000,51.408163265306122,44.000000000000000,245.000000000000000,8849.783673469388305,8060.000000000000000
14,765110.435999999986961,6309206.661999999545515,20.783000000000001,10.000000000000000,247.000000000000000,17090.720647773279779,16778.000000000000000,247.000000000000000,11581.639676113360110,11451.000000000000000,247.000000000000000,19645.765182186234597,19125.000000000000000,247.000000000000000,62.449392712550605,62.000000000000000,247.000000000000000,15253.959514170041075,14969.000000000000000
15,765109.488999999943189,6309208.110999998636544,20.782000000000000,13.000000000000000,241.000000000000000,17033.759336099585198,16966.000000000000000,241.000000000000000,11668.975103734439472,11572.000000000000000,241.000000000000000,19629.286307053942437,19450.000000000000000,241.000000000000000,62.385892116182575,61.000000000000000,241.000000000000000,15210.804979253112833,15205.000000000000000
16,765107.287999999942258,6309213.308000000193715,20.827000000000002,10.000000000000000,246.000000000000000,17950.174796747967775,17759.000000000000000,246.000000000000000,10774.723577235772609,10429.500000000000000,246.000000000000000,19990.109756097561331,19471.000000000000000,246.000000000000000,55.060975609756099,54.000000000000000,246.000000000000000,14484.117886178861227,14177.500000000000000
17,765097.032000000006519,6309214.855999999679625,20.803000000000001,14.000000000000000,243.000000000000000,13286.152263374486211,12897.000000000000000,243.000000000000000,10126.271604938272503,9533.000000000000000,243.000000000000000,15678.814814814815691,14956.000000000000000,243.000000000000000,55.460905349794238,49.000000000000000,243.000000000000000,12518.868312757202148,11994.000000000000000
18,765093.422000000020489,6309215.798999999649823,20.885000000000002,6.000000000000000,242.000000000000000,17366.698347107438167,17414.000000000000000,242.000000000000000,9952.995867768593598,9776.000000000000000,242.000000000000000,18862.896694214876334,19120.500000000000000,242.000000000000000,53.623966942148762,46.000000000000000,242.000000000000000,13395.024793388429316,13376.500000000000000
19,765086.371000000042841,6309217.254000000655651,20.788000000000000,11.000000000000000,242.000000000000000,11488.533057851240301,11239.000000000000000,242.000000000000000,9093.177685950413434,8631.500000000000000,242.000000000000000,13269.512396694213749,12573.000000000000000,242.000000000000000,51.586776859504134,44.500000000000000,242.000000000000000,10965.301652892561833,10221.500000000000000
20,765077.991999999969266,6309218.201000000350177,20.748000000000001,18.000000000000000,242.000000000000000,9711.657024793388700,9355.500000000000000,242.000000000000000,9997.495867768593598,9514.500000000000000,242.000000000000000,12627.917355371901067,11990.500000000000000,242.000000000000000,59.359504132231407,52.000000000000000,242.000000000000000,11304.442148760330383,10692.500000000000000
22,765075.047999999951571,6309218.716000000014901,20.821000000000002,12.000000000000000,243.000000000000000,12700.613168724279603,12247.000000000000000,243.000000000000000,10676.732510288065896,10272.000000000000000,243.000000000000000,17194.415637860081915,15947.000000000000000,243.000000000000000,58.983539094650205,52.000000000000000,243.000000000000000,14062.246913580247565,13446.000000000000000
23,765066.001999999978580,6309220.382000000216067,20.786999999999999,15.000000000000000,241.000000000000000,17372.514522821576975,17435.000000000000000,241.000000000000000,12594.966804979252629,12338.000000000000000,241.000000000000000,22517.551867219917767,22194.000000000000000,241.000000000000000,69.493775933609953,65.000000000000000,241.000000000000000,17129.792531120332569,16620.000000000000000
24,765064.790000000037253,6309219.870000000111759,20.827000000000002,14.000000000000000,241.000000000000000,14367.261410788381909,14052.000000000000000,241.000000000000000,10052.033195020747371,9746.000000000000000,241.000000000000000,17145.941908713692101,16782.000000000000000,241.000000000000000,61.033195020746888,52.000000000000000,241.000000000000000,13152.804979253112833,13129.000000000000000
25,765062.743000000016764,6309219.497000000439584,20.783999999999999,20.000000000000000,245.000000000000000,5450.008163265306393,5386.000000000000000,245.000000000000000,9975.391836734694152,9686.000000000000000,245.000000000000000,6592.191836734693425,6452.000000000000000,245.000000000000000,67.028571428571425,67.000000000000000,245.000000000000000,8075.465306122448965,7949.000000000000000
26,765059.322000000043772,6309219.605000000447035,20.795000000000002,11.000000000000000,242.000000000000000,14767.863636363636033,14047.000000000000000,242.000000000000000,10424.582644628098933,9770.500000000000000,242.000000000000000,17973.842975206611300,16401.500000000000000,242.000000000000000,50.942148760330582,47.000000000000000,242.000000000000000,14113.053719008265034,13284.000000000000000
