field_1,field_2,field_3,field_4,field_5,B_count,B_mean,B_median,G_count,G_mean,G_median,R_count,R_mean,R_median,RE_count,RE_mean,RE_median,NIR_count,NIR_mean,NIR_median
1,750254.783,6297041.031,25.559,base,9,84.7777777777778,85,9,10499.3333333333,10268,9,7961.77777777778,7978,9,10789.4444444444,10673,9,8263.33333333333,8361
2,750254.593,6297034.038,25.54,plataforma,12,167.666666666667,167.5,12,25484.25,25716,12,23934.0833333333,24264,12,26752.1666666667,26875,12,22315.6666666667,22642
3,750218.233,6296984.818,25.956,marca1,9,59.1111111111111,57,9,11041.8888888889,10358,9,7237.22222222222,7171,9,13399.8888888889,12774,9,13330.7777777778,13133
4,750216.371,6296985.544,25.856,"11",9,40.1111111111111,37,9,10258.8888888889,9867,9,5650.66666666667,5621,9,14071,14248,9,14191.5555555556,14355
5,750211.246,6296986.786,26.078,"1",10,52,53.5,10,17250.4,16777.5,10,9104.2,8553,10,28973.5,29403,10,28511.6,28480.5
6,750208.441,6296985.557,26.121,"0",9,78,80,9,8853.77777777778,8783,9,7456.11111111111,7421,9,9183.88888888889,8836,9,9047.55555555555,8774
7,750208.689,6296989.1,26.002,"10",9,46.5555555555556,45,9,22877.5555555556,22478,9,11659.7777777778,11096,9,46573.3333333333,47469,9,44841.6666666667,45062
8,750205.057,6296991.82,26.229,"4",9,57.6666666666667,58,9,7863.55555555556,7989,9,5899.22222222222,5918,9,9324.22222222222,8841,9,11285,10622
9,750201.913,6296990.8,26.266,"0",11,50.0909090909091,47,11,8042.36363636364,7502,11,5914.36363636364,5778,11,8046,7781,11,7524.45454545455,7454
10,750203.547,6296995.698,26.297,"-1",8,46.625,43.5,8,9588.375,10058.5,8,6489.625,6204.5,8,10020.375,9901,8,8476,8500.5
11,750205.228,6296994.325,26.245,"4.5",9,107.111111111111,114,9,20670.1111111111,20832,9,10920.4444444444,11192,9,35297.7777777778,35017,9,29703.3333333333,29386
12,750204.598,6296999.615,26.253,"0",9,54.8888888888889,50,9,8475.11111111111,8643,9,6053,6095,9,8482.44444444445,7920,9,8007.22222222222,7954
13,750207.52,6297003.057,26.194,"6",9,57.6666666666667,55,9,22944.5555555556,23875,9,12473.2222222222,12420,9,44464.1111111111,46048,9,40700.1111111111,41477
14,750200.125,6297007.475,26.387,"1",11,41.3636363636364,42,11,11356.5454545455,10982,11,6753.72727272727,6817,11,13702.9090909091,13838,11,10662.8181818182,10089
15,750200.191,6297002.725,26.403,"0",9,46.3333333333333,44,9,16829.3333333333,16970,9,9223.77777777778,9425,9,31135,30305,9,31842.1111111111,31676
16,750199.732,6297000.005,26.377,"1",8,44.25,43.5,8,6873,6898.5,8,5731.125,5745,8,7730.875,7750,8,8982.75,8924.5
17,750198.387,6296996.249,26.401,"1",9,45.7777777777778,44,9,13648.5555555556,13664,9,6994.77777777778,7231,9,20555.7777777778,20662,9,17450.5555555556,17738
18,750196.301,6296992.567,26.416,"0",12,59.5,58.5,12,11760.4166666667,11427,12,6509.08333333333,6469,12,12670.5833333333,12199.5,12,10165.75,10137
19,750192.861,6296995.875,26.537,"0",9,72.6666666666667,73,9,8595.22222222222,8349,9,6511.33333333333,6597,9,8221.55555555555,8252,9,6305.88888888889,6237
20,750192.798,6296995.828,26.536,"0",9,67,67,9,7611.77777777778,7717,9,6778.66666666667,6828,9,7345.55555555556,7133,9,6211,6199
21,750194.454,6297001.993,26.457,"6",9,53.3333333333333,54,9,12186.3333333333,12088,9,6268,6298,9,15357.8888888889,15519,9,13043.3333333333,13258
22,750195.1,6297006.409,26.471,"6",9,40.7777777777778,41,9,10456.8888888889,10617,9,5926.33333333333,5968,9,12670.7777777778,12532,9,10312,10360
23,750199.954,6297005.437,26.397,"0",10,46.6,48,10,9150.8,9248,10,6149,6158.5,10,9390.3,8994.5,10,8671.8,8591.5
24,750213.059,6297005.696,26.056,"9",9,52.1111111111111,51,9,15246.4444444444,14865,9,8748.55555555555,8919,9,27040.8888888889,26932,9,25795.2222222222,25973
25,750216.665,6297007.111,25.974,"9",9,50.5555555555556,44,9,10814.3333333333,10638,9,7234.77777777778,7132,9,11572.2222222222,11793,9,10996.6666666667,10702
26,750220.559,6297008.55,25.892,"10",10,75.3,72,10,18295.5,18557.5,10,11486.1,11327.5,10,24582.6,24231,10,21710.4,21702
27,750224.232,6297008.461,25.81,"9",8,74.625,66.5,8,11097.125,9934,8,7503.125,7193,8,12284.25,11353.5,8,10380.875,9717
28,750228.701,6297008.356,25.69,"15",9,87.7777777777778,86,9,18554.7777777778,17653,9,9949,10189,9,25374.3333333333,26778,9,23067,23847
29,750231.609,6297011.752,25.642,"14",9,48.4444444444444,36,9,15106.7777777778,14633,9,7825.88888888889,8352,9,20466,19172,9,18344.8888888889,17960
30,750235.422,6297014.324,25.599,"15",9,45.2222222222222,46,9,16526.8888888889,16722,9,8529.55555555555,8496,9,29251.5555555556,30432,9,33923.7777777778,32636
31,750234.835,6297017.851,25.625,"11",9,48.8888888888889,50,9,23547.3333333333,22891,9,10652.2222222222,10687,9,50879.1111111111,50654,9,50728.4444444444,49551
32,750230.633,6297018.392,25.675,"11",9,62.6666666666667,59,9,11233.4444444444,11652,9,6595.22222222222,6519,9,13028.6666666667,13586,9,10548.1111111111,11047
33,750230.644,6297018.4,25.67,"11",12,60.6666666666667,59,12,10793.0833333333,11232.5,12,6506.91666666667,6434,12,12287.4166666667,12695.5,12,10062,9982
34,750226.982,6297017.808,25.766,"9",9,86.4444444444444,84,9,22543.4444444444,22368,9,12927.8888888889,13076,9,36396,37588,9,30413.6666666667,31178
35,750223.085,6297017.895,25.808,"9.5",9,48.5555555555556,48,9,8461.66666666667,8505,9,6593.44444444444,6513,9,9021.22222222222,8916,9,9732.77777777778,9563
