field_1,field_2,field_3,field_4,field_5,G_count,G_mean,G_median,R_count,R_mean,R_median,NIR_count,NIR_mean,NIR_median,RE_count,RE_mean,RE_median,B_count,B_mean,B_median
903,750471.824,6297496.013,24.939,7,236,15793.2330508475,15554.5,236,8604.86440677966,8414,236,19722.1779661017,19122,236,22781.4703389831,22119,236,50.9067796610169,45.5
904,750473.808,6297500.01,24.916,7,235,16335.5531914894,15577,235,8551.99574468085,8342,235,20682.9191489362,19806,235,23669.6978723404,22188,235,47.8425531914894,45
905,750475.904,6297503.834,24.928,7,233,16658.0386266094,16795,233,8756.78540772532,8727,233,20913.5579399142,20326,233,23701.7510729614,23494,233,50.0815450643777,49
906,750478.324,6297508.599,24.911,6.5,233,16118.1802575107,15544,233,8728.87982832618,8353,233,19080.669527897,18615,233,21974.6480686695,21443,233,53.1115879828326,52
907,750481.579,6297515.298,24.96,7,233,16849.2317596567,17076,233,9171.85407725322,9184,233,19037.1931330472,19178,233,22994.5407725322,23329,233,56.5321888412017,51
908,750484.621,6297522.481,24.93,8.5,233,15156.6094420601,15103,233,9386.75965665236,9417,233,15177.1201716738,14815,233,18639.7811158798,17963,233,60.6309012875536,59
909,750491.163,6297531.815,24.914,10,232,13001.5301724138,12446.5,232,8504.38793103448,8280.5,232,11370.7327586207,10895,232,14300.8060344828,13371,232,60.6379310344828,59
910,750493.054,6297536.253,24.894,10,235,10110.8936170213,9382,235,7466.86382978723,7350,235,9102.31914893617,8589,235,10610.0978723404,9597,235,55.5574468085106,50
911,750495.114,6297540.532,24.895,11,232,13252.0129310345,13465,232,8013.81896551724,8355,232,13524.3189655172,12908,232,15790.8793103448,15477,232,58.2198275862069,58
912,750498.106,6297546.83,24.911,10,234,13149.0854700855,11394,234,9242.73504273504,9011.5,234,11504.5128205128,9388,234,14857.6581196581,11992.5,234,62.5042735042735,60.5
913,750500.894,6297553.427,24.935,9,233,10567.5879828326,9911,233,10307.5107296137,10126,233,7476.25321888412,7018,233,10369.7467811159,9469,233,65.7982832618026,63
914,750502.616,6297555.95,24.885,8,234,11666.3846153846,11282,234,9519.92735042735,9385.5,234,8810.00427350427,8746,234,11750.0299145299,11369.5,234,68.457264957265,64
915,750496.963,6297559.084,24.938,7,234,12108.2564102564,10874.5,234,8334.52564102564,8018.5,234,12037.7051282051,10971,234,14351.1794871795,12772.5,234,58.9444444444444,50.5
916,750490.915,6297561.328,24.902,8,234,15903.0811965812,15820.5,234,9880.89316239316,9816.5,234,15650.3974358974,15281,234,19463.594017094,19266.5,234,53.9017094017094,53
917,750487.83,6297562.884,24.924,8,234,15696.7948717949,15223.5,234,10251.5170940171,10217.5,234,18298.8247863248,18239.5,234,21286.3675213675,21381.5,234,46.4188034188034,45
918,750484.059,6297563.924,24.926,7,233,17566.6480686695,17590,233,11659.3776824034,11585,233,22945.5493562232,22381,233,25707.8669527897,25106,233,54.3261802575107,53
919,750479.026,6297561.962,24.93,6,233,17257.4163090129,16987,233,11854.9313304721,11850,233,19164.1759656652,19013,233,23267.1587982833,23076,233,57.5793991416309,56
920,750474.29,6297559.051,24.939,3.5,232,18288.9655172414,18409,232,12135.3922413793,12223.5,232,21337.4482758621,21343,232,25345.6379310345,25260.5,232,55.25,56
921,750472.197,6297556.648,24.971,0,233,17053.3733905579,17075,233,12252.7682403433,12155,233,19140.3261802575,19337,233,22842.4120171674,23096,233,58.4892703862661,55
922,750471.002,6297556.328,24.923,3.5,234,10878.2606837607,10744,234,8127.32478632479,7989.5,234,11981.5897435897,11929,234,13058.4914529915,13081.5,234,42.457264957265,41
923,750464.654,6297557.096,24.944,7,236,16523.4703389831,16000,236,12043.7033898305,11625.5,236,17474.6440677966,16898.5,236,21217.8855932203,20254,236,63.3686440677966,58
924,750458.661,6297557.962,24.95,8,236,16836.1228813559,16863,236,11699.0296610169,11377,236,19059.4576271186,19243,236,22544.6737288136,22722,236,54.6694915254237,49.5
925,750448.196,6297559.062,24.966,10,233,16447.356223176,16107,233,11434.4377682403,11069,233,18955.0515021459,18585,233,21674.6824034335,21474,233,56.4377682403433,53
926,750440.921,6297559.933,24.977,5,232,16392.5732758621,16203.5,232,11152.9525862069,10907,232,18799.2025862069,18950.5,232,21728.9913793103,21839.5,232,49.3534482758621,47
927,750433.641,6297559.309,24.971,6,233,15964.7339055794,15596,233,11096.7982832618,10978,233,19255.313304721,19293,233,21476.8283261803,21176,233,51.8497854077253,52
928,750426.741,6297560.208,24.984,5,235,16708.4808510638,16556,235,11935.2510638298,11670,235,19383.4893617021,19163,235,22250.6808510638,22142,235,59.9404255319149,58
929,750425.093,6297560.822,24.99,4,234,12825.7478632479,11435.5,234,13289.0341880342,12445,234,10610.3888888889,9237.5,234,13799.1367521368,11536,234,69.5213675213675,65.5
930,750418.998,6297561.615,25,5,233,15855.0128755365,16753,233,13135.5922746781,13163,233,16319.1459227468,17136,233,19591.5064377682,20465,233,67.5364806866953,64
931,750407.976,6297562.382,24.998,5,234,15757.3461538462,15857,234,11490.2435897436,11377,234,17557.2264957265,17435,234,20518.0427350427,20000.5,234,58.3418803418803,52.5
932,750399.722,6297562.024,25.002,2,233,15056.5708154506,14908,233,11589.6394849785,11284,233,15768.7381974249,15507,233,18635.7381974249,17931,233,64.2317596566524,61
933,750398.003,6297561.941,25.03,2,234,15411.3076923077,15376.5,234,11100.6495726496,11015,234,17679.8760683761,17953,234,19971.2564102564,20161,234,59.8247863247863,56
934,750395.973,6297562.135,24.995,3,231,14811.4632034632,14853,231,10385.8831168831,10491,231,18069.4935064935,18063,231,19899.5974025974,20061,231,53.8571428571429,54
935,750391.683,6297562.402,24.997,5,233,17329.6652360515,16726,233,12829.5021459227,12559,233,17806.5793991416,17455,233,21515.1630901288,20956,233,69.31330472103,65
936,750387.705,6297560.793,25.037,1,234,15702.0598290598,15329,234,12532.8846153846,12273,234,14682.8974358974,14174.5,234,18471.8076923077,18228.5,234,68.0854700854701,67
937,750389.343,6297559.865,25.021,0,233,16473.2403433476,16496,233,12256.5064377682,12179,233,16961.0643776824,16735,233,20355.2875536481,20091,233,63.9742489270386,63
938,750390.506,6297558.941,25.057,0,234,15826.2564102564,15651,234,11278.0641025641,10955.5,234,16960.0341880342,16576.5,234,20075.0213675214,19822,234,57.2179487179487,54
939,750386.957,6297559.759,25.013,0,240,16095.3375,15940.5,240,11754.3208333333,11683.5,240,16529.3583333333,16301,240,19885.8416666667,19566,240,64.95,63
