field_1,field_2,field_3,field_4,field_5,NIR_count,NIR_mean,NIR_median,RE_count,RE_mean,RE_median,B_count,B_mean,B_median,R_count,R_mean,R_median,G_count,G_mean,G_median
7,765022.973,6309982.99,22.356,14,9,25314.2222222222,24560,9,25712.6666666667,25530,9,63.6666666666667,69,9,8776.33333333333,8793,9,16388.3333333333,16092
8,765022.627,6309983.887,22.346,14,9,27698.2222222222,27661,9,28525.6666666667,28540,9,61.7777777777778,61,9,9054.77777777778,8960,9,17191.5555555556,17255
9,765022.449,6309983.953,22.353,14,9,16359.6666666667,16247,9,16464.4444444444,16217,9,70,65,9,9440.11111111111,9500,9,13588.5555555556,13554
10,765021.285,6309985.037,22.347,14,12,23649.8333333333,23460,12,21558.25,21393.5,12,73.9166666666667,76.5,12,7717.25,7899,12,13312.0833333333,13229
11,765016.551,6309986.676,22.392,9,10,16882.6,16944,10,18744.3,18730,10,98.7,101,10,10852,10870,10,14770.8,14993
12,765012.084,6309988.158,22.387,10,9,18671.4444444444,18085,9,21564.7777777778,20815,9,106.111111111111,112,9,11563.2222222222,11924,9,15466.6666666667,15852
13,765009.679,6309987.172,22.376,10,9,15361.7777777778,15072,9,18802.4444444444,18649,9,102.333333333333,103,9,11275.7777777778,11073,9,14196.2222222222,14400
15,765001.009,6309982.156,22.315,24,9,9079.66666666667,8755,9,12957.6666666667,12665,9,137.777777777778,138,9,17245.7777777778,17490,9,16611.6666666667,16521
16,765000.046,6309981.863,22.387,20,9,18781.8888888889,19045,9,23399,23662,9,108.333333333333,111,9,12068.8888888889,11967,9,17573.6666666667,17689
17,764999.692,6309980.947,22.391,22,10,17133.8,17330,10,21870.9,21964.5,10,81.4,78.5,10,12227.7,12093.5,10,16973,17331.5
18,764999.419,6309980.201,22.372,23,9,15143.6666666667,14709,9,20508.4444444444,19530,9,96.7777777777778,99,9,12921.3333333333,12974,9,17159.4444444444,16707
19,764998.088,6309981.583,22.375,24,12,14926.4166666667,14647.5,12,20194,20008,12,106.5,109,12,13171.1666666667,13155,12,17130.3333333333,16569.5
20,764997.263,6309982.239,22.359,20,9,17375.1111111111,17025,9,22382.5555555556,22444,9,94.8888888888889,99,9,12396.6666666667,12404,9,17940,17867
21,764996.262,6309982.295,22.4,19,9,18434.4444444444,19402,9,22658.7777777778,23963,9,81.5555555555556,80,9,11811.5555555556,11607,9,16707.2222222222,16685
22,764995.142,6309982.333,22.39,17,8,18470.875,18241.5,8,23214.375,23866.5,8,83.25,88.5,8,11764.5,11826.5,8,17014.625,17007.5
23,764995.268,6309981.274,22.395,17,9,10865.7777777778,10654,9,13670.3333333333,13455,9,98.1111111111111,95,9,13596.5555555556,13632,9,14679.2222222222,14817
