field_1,field_2,field_3,field_4,field_5,RE_count,RE_mean,RE_median,B_count,B_mean,B_median,G_count,G_mean,G_median,NIR_count,NIR_mean,NIR_median,R_count,R_mean,R_median
7,765022.973,6309982.99,22.356,14,233,24633.3991416309,24874,233,63.1630901287554,64,233,15782.9141630901,15849,233,24795.3776824034,25351,233,8677.74248927039,8637
8,765022.627,6309983.887,22.346,14,232,22552.6939655172,22844,232,67.051724137931,66,232,14952.400862069,15071,232,22510.7284482759,22857.5,232,8714.59913793103,8737
9,765022.449,6309983.953,22.353,14,233,22309.2703862661,22713,233,68.1201716738197,67,233,15005.0386266094,15113,233,21959.5321888412,22329,233,8864.60515021459,8816
10,765021.285,6309985.037,22.347,14,236,25873.6949152542,26460,236,65.4576271186441,67,236,16131.4491525424,16361,236,26043.4322033898,26596,236,8881.42372881356,8949.5
11,765016.551,6309986.676,22.392,9,232,20715.150862069,20489,232,84.4224137931034,85.5,232,15011.0646551724,14914,232,18794.3620689655,18346,232,10523.4267241379,10522.5
12,765012.084,6309988.158,22.387,10,232,20833.8922413793,20868,232,98.0301724137931,100,232,15297.8534482759,15058,232,18449.0387931034,18256.5,232,11555.3706896552,11548.5
13,765009.679,6309987.172,22.376,10,232,18083.525862069,17399.5,232,100.137931034483,103,232,14950.3706896552,14772.5,232,14776.0344827586,14437.5,232,12605.8232758621,12950.5
15,765001.009,6309982.156,22.315,24,232,16324.9094827586,16142,232,127.698275862069,128.5,232,17241.8448275862,17084,232,11485.6551724138,11352,232,15902.4267241379,16116.5
16,765000.046,6309981.863,22.387,20,237,20441.4852320675,20244,237,98.6371308016878,100,237,16457.1265822785,16449,237,16155.0168776371,16068,237,12360.6455696203,12345
17,764999.692,6309980.947,22.391,22,233,22274.4334763949,22102,233,96.4849785407725,97,233,17795.7639484979,17708,233,17050.8068669528,16814,233,12683.1630901288,12666
18,764999.419,6309980.201,22.372,23,233,21343.1974248927,21177,233,100.44635193133,101,233,17722.4463519313,17633,233,15811.4506437768,15628,233,13167.4806866953,13146
19,764998.088,6309981.583,22.375,24,233,20132.9313304721,19667,233,106.592274678112,107,233,17562.7639484979,17366,233,14666.8712446352,14387,233,13469.2489270386,13413
20,764997.263,6309982.239,22.359,20,238,21472.8151260504,20748.5,238,95.9789915966387,96,238,17295.8739495798,17008,238,16499.4789915966,16077,238,12640.8193277311,12522
21,764996.262,6309982.295,22.4,19,232,21632.0862068966,20447,232,95.2025862068966,94.5,232,17178.4310344828,17016.5,232,17188.4353448276,16457,232,12678.974137931,12538.5
22,764995.142,6309982.333,22.39,17,234,23530.2735042735,22864,234,91.0470085470085,93,234,17791.8205128205,17364.5,234,18696.5641025641,17489.5,234,12666.9615384615,12474
23,764995.268,6309981.274,22.395,17,233,19828.1502145923,18384,233,99.2875536480687,101,233,16390.4420600858,16019,233,15716.1072961373,14359,233,12586.7682403433,12754
24,764995.657,6309983.761,22.382,19,236,21012.3771186441,21075.5,236,106.419491525424,112,236,17638.843220339,17650.5,236,15776.3220338983,15584.5,236,13686.2161016949,13497.5
25,764994.542,6309984.301,22.41,17,233,20022.9012875536,19239,233,105.394849785408,105,233,17080.8197424893,16840,233,15142.8927038627,14533,233,13495.5493562232,13345
26,764992.784,6309984.567,22.405,20,233,24828.5879828326,25217,233,75.381974248927,75,233,16993.6266094421,16913,233,21314.7210300429,21309,233,11133.652360515,11099
27,764990.711,6309985.01,22.424,19,232,21729.8275862069,20676.5,232,99.5689655172414,103,232,17009.8405172414,16673.5,232,17409.7931034483,16595,232,12455.8663793103,12435
28,764988.736,6309986.795,22.395,21,232,23483.1206896552,23214,232,91.2456896551724,93,232,17797.0431034483,17611.5,232,18850.9698275862,18442.5,232,12470.6293103448,12441
29,764985.808,6309989.007,22.452,15,236,18398.9194915254,16647.5,236,128.360169491525,133,236,17666.0296610169,17141,236,13949.7118644068,12765,236,15023.0381355932,15323.5
30,764985.866,6309987.299,22.458,16,234,18850.7777777778,18045,234,113.299145299145,115,234,17193.2435897436,17055.5,234,13980.7777777778,13583,234,14074.0128205128,14075
31,764983.664,6309990.961,22.419,18,234,24268.1324786325,24523.5,234,80.991452991453,80.5,234,17427.4957264957,17480,234,20926.6752136752,21043.5,234,11702.4871794872,11655
32,764978.155,6309994.312,22.424,22,236,20918.813559322,19944,236,119.991525423729,121,236,19009.7330508475,18744.5,236,15387.1610169492,14745,236,15103.9279661017,15175
33,764976.81,6309995.557,22.355,23,236,22232.6101694915,21343,236,115.529661016949,117,236,19302.6271186441,19260,236,16906.1949152542,16132.5,236,14850.2203389831,14886
34,764975.185,6309996.844,22.367,23,233,22192.965665236,21660,233,104.309012875536,105,233,18379.1416309013,17934,233,17022.974248927,16643,233,13899.6223175966,13886
35,764974.029,6309997.58,22.404,21,236,21524.8983050847,20663,236,102.411016949153,104,236,17900.9957627119,17651.5,236,16660.8516949153,15775.5,236,13850.6652542373,13961
36,764971,6309998.902,22.343,25,233,17761.5107296137,16962,233,123.858369098712,126,233,18211.4248927039,18301,233,12390.8283261803,11428,233,16046.1974248927,16281
37,764968.295,6310000.323,22.347,25,233,22027.965665236,21496,233,105.793991416309,107,233,18622.8326180257,18421,233,16894.3690987124,16380,233,14063.1244635193,14078
38,764965.575,6310003.267,22.358,25,233,16399.1845493562,15787,233,132.583690987124,134,233,18637.9570815451,18434,233,10732.4592274678,10337,233,16810.4291845494,16919
39,764960.903,6310006.104,22.348,24,234,18451.452991453,17145.5,234,132.517094017094,135,234,18992.4871794872,18680.5,234,12581.8931623932,11723.5,234,16207.9914529915,16289
40,764959.936,6310007.071,22.361,24,233,23098.2060085837,21723,233,91.068669527897,91,233,18489.3733905579,18114,233,18002.9785407725,17106,233,13180.9270386266,13125
41,764956.154,6310009.541,22.371,20,233,24211.4163090129,23269,233,106.725321888412,108,233,19386.7124463519,19054,233,18601.6995708154,17810,233,13926.339055794,13929
42,764953.693,6310011.879,22.346,22,234,19731.5598290598,19312.5,234,121.854700854701,122,234,18773.2692307692,18709,234,14124.1709401709,13658,234,15270.2307692308,15396.5
43,764951.484,6310013.143,22.4,20,233,22934.7811158798,22415,233,105.31330472103,107,233,18827.4849785408,18567,233,17497.8412017167,16857,233,13938.5665236051,13972
44,764949.139,6310014.749,22.385,21,234,20115.2307692308,19062,234,127.952991452991,128,234,19490.6965811966,19031,234,14331.3974358974,13354,234,16030.5811965812,16147
46,764939.628,6310020.677,22.408,21,233,21185.7811158798,20899,233,98.8497854077253,98,233,17841.4163090129,17661,233,16001.2145922747,15776,233,13627.1974248927,13651
47,764937.273,6310022.259,22.398,23,233,21436.6995708154,20681,233,89.0343347639485,91,233,17815.7081545064,17687,233,16444.3433476395,15421,233,13165.8326180258,13220
48,764935.916,6310023.167,22.419,18,232,21572.0560344828,21049,232,96.2198275862069,97,232,17813.0818965517,17649.5,232,16886.4181034483,16271.5,232,13577.8793103448,13389
