field_1,field_2,field_3,field_4,field_5,R_count,R_mean,R_median,G_count,G_mean,G_median,B_count,B_mean,B_median,RE_count,RE_mean,RE_median,NIR_count,NIR_mean,NIR_median
4,765190.375,6309180.024,20.766,11,9,8322,8030,9,15129.3333333333,14978,9,52.4444444444444,53,9,21769.7777777778,21586,9,21693.8888888889,21800
5,765181.475,6309203.732,20.758,17,9,12703.7777777778,12613,9,21457.1111111111,21949,9,80.2222222222222,78,9,29180.5555555556,28680,9,22212.4444444444,22007
6,765175.18,6309203.224,20.785,13,8,13980.875,14258.5,8,19670.5,20674,8,89.25,88.5,8,27035.625,28181,8,23377.125,23665
7,765167.474,6309199.449,20.858,8,12,11793.0833333333,12032,12,15350.8333333333,15369.5,12,73.3333333333333,69,12,20915.5833333333,20599,12,17614.25,17373
8,765159.726,6309196.969,20.803,7,9,9625.66666666667,9154,9,12217.1111111111,12041,9,41.3333333333333,35,9,15663.8888888889,15464,9,14071.5555555556,14197
9,765154.164,6309195.225,20.781,8,10,13270.8,13304.5,10,18031.9,18444,10,100,100.5,10,25007.5,25341,10,18784.1,19295
10,765143.428,6309196.661,20.788,7,11,8056.90909090909,7949,11,9591.72727272727,9470,11,32.2727272727273,30,11,13791.4545454545,13421,11,14104.0909090909,14272
11,765137.009,6309196.099,20.78,10,12,10894.0833333333,10973,12,12265.1666666667,11592,12,64.4166666666667,68,12,14807.1666666667,13647,12,12562.9166666667,11738.5
13,765117.846,6309203.26,20.801,10,10,6386.7,6214.5,10,6213.5,6111,10,33.7,33,10,6722.1,6632,10,6471.7,6419.5
14,765110.436,6309206.662,20.783,10,12,9009.41666666667,8427.5,12,11224.8333333333,9974.5,12,43.5833333333333,29.5,12,14466.5,13401,12,14173.8333333333,13736
15,765109.489,6309208.111,20.782,13,9,9737.11111111111,9723,9,11492.8888888889,11859,9,42.6666666666667,39,9,14522.3333333333,15398,9,13842,13693
16,765107.288,6309213.308,20.827,10,11,10276.0909090909,10369,11,12981.8181818182,12414,11,56.4545454545455,37,11,16648.6363636364,15327,11,14959,15051
17,765097.032,6309214.856,20.803,14,9,7455.11111111111,7182,9,7528.22222222222,7013,9,45.2222222222222,23,9,8117.22222222222,7361,9,8470.55555555555,8016
18,765093.422,6309215.799,20.885,6,9,12794.8888888889,13423,9,17315.1111111111,16854,9,72.3333333333333,60,9,25355.4444444444,25335,9,21392.1111111111,21008
19,765086.371,6309217.254,20.788,11,9,11523.5555555556,12555,9,13830.1111111111,16408,9,69.3333333333333,64,9,17752.2222222222,17359,9,13065.5555555556,14507
20,765077.992,6309218.201,20.748,18,10,8403.3,8361.5,10,9099.3,9162.5,10,52.9,55,10,9759.5,9537.5,10,8324.1,8301.5
22,765075.048,6309218.716,20.821,12,9,9304.77777777778,8220,9,10199.7777777778,8262,9,58,46,9,11522.6666666667,9923,9,11275.3333333333,11706
23,765066.002,6309220.382,20.787,15,9,9679,8846,9,12137.6666666667,11410,9,34.7777777777778,16,9,16106.8888888889,15304,9,12718.6666666667,12809
24,765064.79,6309219.87,20.827,14,9,6491.55555555556,6316,9,8461.44444444445,7410,9,20.8888888888889,22,9,11403,10326,9,9259.77777777778,9090
25,765062.743,6309219.497,20.784,20,11,9438.27272727273,9320,11,7577.72727272727,7622,11,63.7272727272727,64,11,6091.54545454545,6134,11,5183.90909090909,5203
26,765059.322,6309219.605,20.795,11,8,8224.125,8108.5,8,10239.125,10038.5,8,52.75,47,8,12351.25,12225.5,8,11731.375,11588
27,765052.202,6309219.954,20.822,10,10,9944.7,10389.5,10,11552.2,11212,10,22.5,17.5,10,13380.9,13028,10,11895.3,11633.5
28,765044.003,6309219.405,20.815,9,12,9234.33333333333,9038.5,12,10720.5,11003,12,51.6666666666667,43,12,13146.5,13466,12,12151.1666666667,12157.5
29,765037.267,6309221.454,20.8,8,9,13472.8888888889,13209,9,19483,19514,9,48.4444444444444,52,9,27167.1111111111,26929,9,20062.1111111111,20174
30,765036.419,6309217.453,20.767,9,10,5576.6,5544.5,10,6525,6486.5,10,30.1,34,10,7772.1,7883.5,10,7969.6,8065
31,765033.723,6309216.46,20.684,20,10,14358.2,14436,10,10562.5,10399,10,76.5,79.5,10,9377.3,9503.5,10,6806,6815
32,765026.383,6309215.702,20.784,7,9,15513.2222222222,15790,9,23212.5555555556,24870,9,131,129,9,34338.7777777778,33477,9,27081.6666666667,26524
