field_1,field_2,field_3,field_4,field_5,B_count,B_mean,B_median,B_stdev,B_min,B_max,G_count,G_mean,G_median,G_stdev,G_min,G_max,R_count,R_mean,R_median,R_stdev,R_min,R_max,RE_count,RE_mean,RE_median,RE_stdev,RE_min,RE_max,NIR_count,NIR_mean,NIR_median,NIR_stdev,NIR_min,NIR_max
903,750471.824,6297496.013,24.939,7,10,52.9,61.5,21.149231664531,17,77,10,13664.5,13586,1354.2113756722,10975,16144,10,8009.3,8011.5,505.843463929307,6871,8596,10,18208,17740.5,2347.26125516526,13853,22383,10,16138,16471.5,1254.98111539577,14016,18166
904,750473.808,6297500.01,24.916,7,9,50.8888888888889,56,23.8068358271057,10,87,9,19985.8888888889,20456,2044.07362579099,17261,23176,9,9573.44444444445,9409,864.608853260133,8212,11188,9,31100.1111111111,31286,2424.02468104617,27202,33815,9,26341.8888888889,26627,1527.83612009814,24037,28112
905,750475.904,6297503.834,24.928,7,9,41.5555555555556,25,27.455463374997,14,87,9,14624.4444444444,14811,1637.75450006072,12312,17664,9,7794.55555555556,7817,579.95768257714,7063,8886,9,21354.7777777778,22036,2304.83355763384,18188,25759,9,19371.1111111111,19667,1421.02360950318,17116,22091
906,750478.324,6297508.599,24.911,6.5,9,68.2222222222222,63,27.6235719702406,30,118,9,13831.6666666667,13931,1686.8951755617,11049,16278,9,8218,8053,760.286641851465,7099,9603,9,18579.4444444444,18017,2868.98832773704,15166,24244,9,15876.6666666667,16023,1144.70471689816,13806,17658
907,750481.579,6297515.298,24.96,7,9,63.8888888888889,77,31.1071426040332,7,102,9,14203.3333333333,14199,1789.1997590481,11390,16629,9,8100.66666666667,8008,632.847181834253,7091,8979,9,20167.2222222222,19140,3121.07025011819,16690,26419,9,17109,17382,1615.03773605724,14381,19944
908,750484.621,6297522.481,24.93,8.5,9,62.8888888888889,63,18.9058747156917,40,100,9,17312,16362,2107.03994583238,14461,20904,9,10015.1111111111,10121,853.149387002775,8074,11071,9,22603.4444444444,21905,3989.49186714608,15808,28853,9,18254.3333333333,18339,2363.67322426581,14676,22726
909,750491.163,6297531.815,24.914,10,10,60.8,58,19.0672494083441,17,87,10,13432.1,13605.5,1521.59603377506,10781,16342,10,8471.1,8503,556.332715198378,7482,9512,10,14175.7,14274,1468.62105731874,11918,16264,10,11269.8,11566.5,835.248202632008,9434,12245
910,750493.054,6297536.253,24.894,10,10,66.5,64,15.5,47,96,10,16871.6,17099.5,3333.06766207948,11537,23255,10,10013.8,9905.5,1758.68426956063,7716,13821,10,18911.9,18045.5,4918.3698813733,11359,26006,10,14500.8,14397,2344.45766863042,10075,17628
911,750495.114,6297540.532,24.895,11,10,43.4,37.5,11.7830386573243,30,68,10,11519.2,11881,1806.21409583693,8158,14096,10,7744.2,7896.5,717.907487076155,6584,8949,10,13333.3,13658.5,2146.92342900253,9363,16638,10,11242.5,11468,1222.57263587895,9005,13202
912,750498.106,6297546.83,24.911,10,8,80.375,79.5,13.4158255429921,51,99,8,13100.375,13586,2075.22094832695,10420,16476,8,10490.25,10511,593.116504154116,9638,11403,8,14471.5,14807,2105.63725508455,11549,17781,8,10009.875,10012,1497.49302481681,8109,12683
913,750500.894,6297553.427,24.935,9,9,63.3333333333333,64,1.63299316185545,61,66,9,9730.22222222222,9750,254.772568634057,9309,10134,9,10194.1111111111,10191,67.5153389064613,10067,10307,9,9304.33333333333,9373,187.664594423136,8994,9536,9,6897.11111111111,6904,105.893494128608,6759,7131
914,750502.616,6297555.95,24.885,8,9,75.7777777777778,80,22.5870059880935,34,103,9,12887.6666666667,12824,2502.97303221589,9222,17709,9,9956.22222222222,10064,659.541385741769,9113,10908,9,14163.3333333333,14875,2673.91772498706,10828,18672,9,9885.33333333333,9791,1485.57142017624,7695,12807
915,750496.963,6297559.084,24.938,7,11,83.4545454545455,83,21.8688804899633,50,118,11,15532.2727272727,16024,2693.21913131037,10224,18956,11,9144.27272727273,9504,1150.38049759903,7077,11280,11,17262.3636363636,16522,4347.72915173651,10675,25121,11,15245.6363636364,14499,2336.6838691043,11558,19442
916,750490.915,6297561.328,24.902,8,9,49.8888888888889,47,12.6442296408234,30,66,9,16113.3333333333,15900,1423.89255212604,13995,18771,9,9930.66666666667,9565,808.342061808545,9052,11774,9,21417.3333333333,21628,2029.35025179106,18295,25524,9,16249.1111111111,16530,1298.86851994294,14158,18116
917,750487.83,6297562.884,24.924,8,9,36.4444444444444,32,13.7122095724221,15,57,9,13936.7777777778,13746,1110.16773285019,12718,15770,9,9507.55555555555,8925,958.158315741554,8604,11326,9,18938.2222222222,18712,2348.9892283835,15639,23393,9,15964.4444444444,16100,1373.12822991972,13961,17778
918,750484.059,6297563.924,24.926,7,9,44.5555555555556,62,21.3234931009132,11,64,9,15416.6666666667,15949,1793.05127893457,12639,18388,9,9738.66666666667,9579,1146.05351823842,8413,12392,9,18583.3333333333,17644,2392.52395785056,15615,22628,9,19629.2222222222,19981,1611.18036632759,16644,21478
919,750479.026,6297561.962,24.93,6,9,62.5555555555556,63,26.0218331880968,22,107,9,18214.7777777778,18386,1053.44480188441,16232,19751,9,13290.6666666667,13057,642.475766944646,12683,14490,9,23093.1111111111,22522,1897.20323074926,19738,26293,9,18342.8888888889,18701,1093.0539728917,16083,19630
920,750474.29,6297559.051,24.939,3.5,11,70.4545454545455,74,26.8679045986222,25,121,11,19398.8181818182,19058,2511.26675090777,15167,23685,11,13491,13879,1569.32411624182,10109,15823,11,25146,24075,3540.21560719888,19578,32605,11,21763.6363636364,21278,2445.70396159645,17873,26218
921,750472.197,6297556.648,24.971,0,12,71.5,66,22.1528779168757,39,107,12,21095.9166666667,20791,2101.81716848117,17384,25513,12,14476.6666666667,13916.5,1480.28664641533,12873,17677,12,28866.6666666667,28456,2065.56640066485,25933,33597,12,23409.3333333333,23501,1426.37204901885,20944,26323
