field_1,field_2,field_3,field_4,field_5,B_count,B_mean,B_median,B_stdev,B_min,B_max,G_count,G_mean,G_median,G_stdev,G_min,G_max,R_count,R_mean,R_median,R_stdev,R_min,R_max,RE_count,RE_mean,RE_median,RE_stdev,RE_min,RE_max,NIR_count,NIR_mean,NIR_median,NIR_stdev,NIR_min,NIR_max
1,750254.783,6297041.031,25.559,base,9,84.7777777777778,85,2.89742329120118,81,90,9,10499.3333333333,10268,434.203997115539,10145,11509,9,7961.77777777778,7978,342.300964966919,7479,8620,9,10789.4444444444,10673,1037.32627580195,9546,12968,9,8263.33333333333,8361,288.668591217603,7709,8719
2,750254.593,6297034.038,25.54,plataforma,12,167.666666666667,167.5,21.4760848904595,126,203,12,25484.25,25716,2424.69775178268,21330,29835,12,23934.0833333333,24264,2683.77925254461,19029,28116,12,26752.1666666667,26875,2000.79562646685,22213,29588,12,22315.6666666667,22642,2160.20872191143,18994,25847
3,750218.233,6296984.818,25.956,marca1,9,59.1111111111111,57,11.8550921496437,44,80,9,11041.8888888889,10358,2418.70881277339,8817,15926,9,7237.22222222222,7171,320.495372744471,6893,7994,9,13399.8888888889,12774,2285.66413613415,11181,18423,9,13330.7777777778,13133,1939.33664361914,10614,17855
4,750216.371,6296985.544,25.856,"11",9,40.1111111111111,37,15.2201945121491,21,78,9,10258.8888888889,9867,784.295500496315,9144,11390,9,5650.66666666667,5621,312.186909825935,5210,6156,9,14071,14248,2153.85442611354,11869,18249,9,14191.5555555556,14355,2219.16756721029,10900,17566
5,750211.246,6296986.786,26.078,"1",10,52,53.5,15.0996688705415,28,74,10,17250.4,16777.5,2236.28545583966,13579,22144,10,9104.2,8553,1421.8579957225,7940,13059,10,28973.5,29403,3970.17682855562,20290,34739,10,28511.6,28480.5,2110.50828948858,24623,32580
6,750208.441,6296985.557,26.121,"0",9,78,80,4.16333199893227,69,82,9,8853.77777777778,8783,475.920109490326,8126,9579,9,7456.11111111111,7421,434.615652539228,6547,8081,9,9183.88888888889,8836,815.894253012463,8445,10918,9,9047.55555555555,8774,1121.8525463725,7878,11382
7,750208.689,6296989.1,26.002,"10",9,46.5555555555556,45,24.7481137827203,12,87,9,22877.5555555556,22478,2305.75974999378,19924,27269,9,11659.7777777778,11096,1361.99508709978,10061,13636,9,46573.3333333333,47469,5522.92416508984,34840,54555,9,44841.6666666667,45062,6871.06401270332,34507,54412
8,750205.057,6296991.82,26.229,"4",9,57.6666666666667,58,5.14241620684717,46,64,9,7863.55555555556,7989,533.480211256677,6851,8811,9,5899.22222222222,5918,222.112973145438,5530,6269,9,9324.22222222222,8841,1154.98453840327,8271,11950,9,11285,10622,1594.55448323348,9503,14596
9,750201.913,6296990.8,26.266,"0",11,50.0909090909091,47,9.26826987340577,43,78,11,8042.36363636364,7502,1328.87924567538,6714,11161,11,5914.36363636364,5778,435.667778500018,5407,6606,11,8046,7781,1257.7263035118,6810,11462,11,7524.45454545455,7454,403.7720697343,6897,8320
10,750203.547,6296995.698,26.297,"-1",8,46.625,43.5,7.92050345622044,38,59,8,9588.375,10058.5,1050.60743590315,7625,10713,8,6489.625,6204.5,541.950167796819,5856,7551,8,10020.375,9901,1194.18622265332,8120,11566,8,8476,8500.5,605.287534978212,7674,9524
11,750205.228,6296994.325,26.245,"4.5",9,107.111111111111,114,18.5379157670881,68,125,9,20670.1111111111,20832,2153.25476866195,16922,24200,9,10920.4444444444,11192,1004.33882188025,9243,12206,9,35297.7777777778,35017,3106.1522026734,29729,40582,9,29703.3333333333,29386,2453.5223659058,26120,33468
12,750204.598,6296999.615,26.253,"0",9,54.8888888888889,50,9.46859656906209,45,76,9,8475.11111111111,8643,1101.1913189758,6850,10539,9,6053,6095,359.318181498732,5542,6580,9,8482.44444444445,7920,1240.54460362385,6799,10997,9,8007.22222222222,7954,783.653661848393,7157,9340
13,750207.52,6297003.057,26.194,"6",9,57.6666666666667,55,11.3333333333333,42,77,9,22944.5555555556,23875,1893.94973012668,19822,24909,9,12473.2222222222,12420,713.424414399822,11424,13727,9,44464.1111111111,46048,4992.61181801991,34532,50756,9,40700.1111111111,41477,2174.18988460553,35729,43031
14,750200.125,6297007.475,26.387,"1",11,41.3636363636364,42,7.33946650615979,29,54,11,11356.5454545455,10982,1131.03390863375,9573,13160,11,6753.72727272727,6817,627.002695500816,5627,7887,11,13702.9090909091,13838,1553.45886533277,11377,16016,11,10662.8181818182,10089,1462.63136585973,8855,13641
15,750200.191,6297002.725,26.403,"0",9,46.3333333333333,44,13.3499895963339,23,69,9,16829.3333333333,16970,1020.00217864691,15605,18785,9,9223.77777777778,9425,611.498301583501,8017,9928,9,31135,30305,3633.95655205483,25785,37060,9,31842.1111111111,31676,2415.91594980935,29173,36838
16,750199.732,6297000.005,26.377,"1",8,44.25,43.5,2.72717802865893,41,49,8,6873,6898.5,255.951167217499,6522,7269,8,5731.125,5745,195.893107012472,5403,6008,8,7730.875,7750,261.164908391231,7229,8134,8,8982.75,8924.5,251.871867226175,8678,9371
17,750198.387,6296996.249,26.401,"1",9,45.7777777777778,44,8.13466898565472,33,60,9,13648.5555555556,13664,547.610183963234,12607,14461,9,6994.77777777778,7231,440.555149222175,6070,7394,9,20555.7777777778,20662,1021.07207034543,18369,21826,9,17450.5555555556,17738,876.261263818694,15640,18882
18,750196.301,6296992.567,26.416,"0",12,59.5,58.5,13.9672235370289,34,82,12,11760.4166666667,11427,1529.10035959783,9795,14570,12,6509.08333333333,6469,389.378662814946,5875,7087,12,12670.5833333333,12199.5,1868.61140325882,9816,15763,12,10165.75,10137,816.345527845491,8879,11686
19,750192.861,6296995.875,26.537,"0",9,72.6666666666667,73,4.21637021355784,67,82,9,8595.22222222222,8349,872.713874172308,7506,10347,9,6511.33333333333,6597,365.002587509854,5747,6988,9,8221.55555555555,8252,1087.08878418065,6803,10619,9,6305.88888888889,6237,323.914407228015,5985,7058
20,750192.798,6296995.828,26.536,"0",9,67,67,1.9436506316151,63,69,9,7611.77777777778,7717,392.162035042143,6974,8174,9,6778.66666666667,6828,161.699996564282,6459,7049,9,7345.55555555556,7133,573.183529094034,6702,8514,9,6211,6199,260.297265960798,5784,6685
21,750194.454,6297001.993,26.457,"6",9,53.3333333333333,54,6.92820323027551,42,66,9,12186.3333333333,12088,1376.07452963534,10320,14507,9,6268,6298,297.63885648364,5813,6716,9,15357.8888888889,15519,1484.31394136928,12908,17166,9,13043.3333333333,13258,790.690556131509,11424,13966
22,750195.1,6297006.409,26.471,"6",9,40.7777777777778,41,9.1745757125969,27,59,9,10456.8888888889,10617,536.143315094936,9283,11215,9,5926.33333333333,5968,276.866193113007,5455,6356,9,12670.7777777778,12532,1027.02437250943,11103,14387,9,10312,10360,607.071659691012,9122,11327
23,750199.954,6297005.437,26.397,"0",10,46.6,48,11.2178429299041,22,63,10,9150.8,9248,795.204728356164,8091,11032,10,6149,6158.5,463.127628197671,5357,6911,10,9390.3,8994.5,896.524851858553,8427,10930,10,8671.8,8591.5,774.546809431167,7560,9886
24,750213.059,6297005.696,26.056,"9",9,52.1111111111111,51,14.7154072276829,20,77,9,15246.4444444444,14865,1930.54241722148,12606,19216,9,8748.55555555555,8919,638.40654255752,7550,9802,9,27040.8888888889,26932,3707.19775705,20253,33668,9,25795.2222222222,25973,3044.25246353327,21830,31483
25,750216.665,6297007.111,25.974,"9",9,50.5555555555556,44,14.6675083933549,37,87,9,10814.3333333333,10638,592.388761240829,10035,11748,9,7234.77777777778,7132,645.505276297874,6011,8121,9,11572.2222222222,11793,1338.57609070881,9685,13693,9,10996.6666666667,10702,740.832564679016,9911,11991
26,750220.559,6297008.55,25.892,"10",10,75.3,72,20.9716475270781,57,133,10,18295.5,18557.5,3579.0782402736,12817,25539,10,11486.1,11327.5,1827.91446462902,9191,15114,10,24582.6,24231,6095.61176913359,15709,35364,10,21710.4,21702,4172.78473444294,15963,29585
27,750224.232,6297008.461,25.81,"9",8,74.625,66.5,18.2615545614277,58,115,8,11097.125,9934,2869.4358956727,7937,17015,8,7503.125,7193,1000.87254901661,6534,9499,8,12284.25,11353.5,3776.78188905581,7791,19876,8,10380.875,9717,2854.860436059,7460,16498
28,750228.701,6297008.356,25.69,"15",9,87.7777777777778,86,20.6116352134623,53,124,9,18554.7777777778,17653,3838.05450652563,11504,24260,9,9949,10189,1603.30408843737,7440,12736,9,25374.3333333333,26778,7066.55892999635,12531,33985,9,23067,23847,4042.15772961807,14190,28207
29,750231.609,6297011.752,25.642,"14",9,48.4444444444444,36,36.3076701756013,14,109,9,15106.7777777778,14633,2901.30628731947,10327,20153,9,7825.88888888889,8352,1226.93850651344,5995,9428,9,20466,19172,5759.50262127247,12803,30997,9,18344.8888888889,17960,3244.46484011854,15127,25095
30,750235.422,6297014.324,25.599,"15",9,45.2222222222222,46,14.755622489808,17,67,9,16526.8888888889,16722,1419.42135662893,13503,18755,9,8529.55555555555,8496,337.248049532655,7859,8909,9,29251.5555555556,30432,3811.79966569048,22215,33332,9,33923.7777777778,32636,3440.38055962734,28217,38392
31,750234.835,6297017.851,25.625,"11",9,48.8888888888889,50,14.2863139203959,25,71,9,23547.3333333333,22891,2382.62059272745,20367,27302,9,10652.2222222222,10687,618.968456883938,9921,11824,9,50879.1111111111,50654,4457.45795629064,45709,59783,9,50728.4444444444,49551,2564.98191941261,47600,54997
32,750230.633,6297018.392,25.675,"11",9,62.6666666666667,59,9.95545634871205,46,80,9,11233.4444444444,11652,1461.38603243718,8886,13341,9,6595.22222222222,6519,378.594704951461,6059,7249,9,13028.6666666667,13586,2572.35991952051,8921,16320,9,10548.1111111111,11047,1646.6513119692,8182,12905
33,750230.644,6297018.4,25.67,"11",12,60.6666666666667,59,9.57717193237243,46,80,12,10793.0833333333,11232.5,1589.28655158708,8345,13341,12,6506.91666666667,6434,428.20117124496,5859,7249,12,12287.4166666667,12695.5,2791.89459144184,8123,16320,12,10062,9982,1721.15339235061,7827,12905
34,750226.982,6297017.808,25.766,"9",9,86.4444444444444,84,17.6327417110021,62,121,9,22543.4444444444,22368,1923.40751509809,18977,25452,9,12927.8888888889,13076,1117.86109696096,10474,14357,9,36396,37588,3467.70455617097,28756,42028,9,30413.6666666667,31178,2520.96648133211,24921,34177
35,750223.085,6297017.895,25.808,"9.5",9,48.5555555555556,48,4.37444881889545,41,55,9,8461.66666666667,8505,510.524784467469,7770,9580,9,6593.44444444444,6513,199.235824038366,6234,6863,9,9021.22222222222,8916,607.486584722069,8071,10203,9,9732.77777777778,9563,424.503573542812,9033,10416
36,750219.464,6297018.64,25.916,"8",9,91.8888888888889,106,24.456057847333,50,122,9,25007.2222222222,24165,3599.81177834427,18636,30813,9,15320.3333333333,15419,2955.55172514372,10908,21168,9,38608.5555555556,38879,6050.25894966692,28317,48489,9,30074,30093,3409.45124290959,24406,34886
37,750215.63,6297018.138,25.98,"9",9,73,67,17.1658575861116,54,107,9,13088.4444444444,13003,2790.29493109046,9329,18571,9,9403.88888888889,9416,1451.99620786499,7297,12676,9,15715.7777777778,14923,4671.79596153052,10575,26980,9,15268.5555555556,15320,2984.77738276933,11367,20592
38,750210.988,6297018.593,26.08,"6",9,45.6666666666667,45,10.2848324136943,30,68,9,14555.4444444444,14270,934.705433232085,13401,16339,9,9022.66666666667,9172,596.974594657651,7999,9894,9,25509.5555555556,24785,2330.24477069642,21594,30364,9,25302.5555555556,25148,1082.21143047323,23151,26717
39,750206.3,6297018.393,26.231,"3.5",9,46.8888888888889,41,26.2146881832153,20,104,9,22385,22783,4829.83408962806,15919,30600,9,11627.2222222222,11523,1934.83492134071,8399,15142,9,35217.3333333333,35532,13761.3735425566,18461,59366,9,36582.1111111111,34977,10701.3529616529,24125,56633
40,750204.454,6297017.594,26.277,"0",9,44.7777777777778,41,11.5352385495516,32,66,9,14045.5555555556,14645,2568.02388839318,9643,18079,9,8807,8578,894.031816485794,7728,10214,9,18609,17748,4615.75914064463,12865,25797,9,17145.1111111111,16409,2897.93533569618,13651,21991
41,750203.623,6297020.742,26.299,"0",12,62.5833333333333,68,15.9293143466866,37,83,12,16288.5,16210,2618.94099144419,11309,21569,12,10236.1666666667,9480.5,2723.16864557123,7870,18023,12,22294,23350,5082.02502289524,13481,31526,12,21707.3333333333,22325.5,3745.4038129716,14329,25664
42,750203.716,6297020.738,26.321,"0",10,71.3,78,23.8916303336545,31,110,10,17355.8,16731,2728.61055484289,13695,23326,10,11111.6,11214,1181.70361766392,9368,13071,10,27173.4,27736.5,4208.29186725446,19444,33234,10,27892.8,27144,2081.11771891933,25360,32273
43,750202.961,6297023.76,26.28,"0",10,40.3,38.5,11.8072011924927,24,65,10,21176.3,22044,3416.4215796649,15980,26957,10,13093.7,13083.5,2747.57307637122,8670,18010,10,41330.5,42027.5,6529.70993613039,31821,53571,10,37617.4,38767.5,3448.16546006714,31812,43289
44,750201.488,6297024.432,26.327,"-1",10,95.5,96.5,6.45368112010502,82,104,10,13646.4,13223,1379.79818814202,11690,15882,10,10886.4,10890,435.639805343818,10346,11446,10,13921.7,12849,2131.23185270866,11919,18828,10,12578.5,12302,1540.75249472457,10318,15439
45,750200.687,6297027.036,26.32,"-1",9,109.333333333333,109,4.76095228569523,102,116,9,14116,14074,316.544888865176,13622,14640,9,11314.8888888889,11436,765.200111001392,10071,12300,9,14008,14469,867.911285789049,12573,15252,9,10301.5555555556,10188,471.385218999661,9489,11053
46,750199.877,6297029.343,26.326,"-1",8,100.5,101.5,6.57647321898295,92,110,8,13561,13533.5,645.031200795744,12249,14601,8,11027,10646.5,713.570248819274,10269,12342,8,14459.75,14308.5,1673.34080136116,11919,17483,8,10886.625,10919,441.572173460919,10208,11609
47,750198.948,6297031.877,26.307,"-1",9,97.5555555555556,100,6.13027298850388,85,105,9,11932.5555555556,11943,926.87744738403,10310,13371,9,10275.6666666667,10381,861.061360570004,8772,11378,9,11616.4444444444,10908,1094.03240974856,10391,13191,9,9203,9124,380.997229502904,8662,9777
48,750198.039,6297035.046,26.274,"0",12,96.3333333333333,93.5,34.8695983471116,35,160,12,21862.75,21814,3332.32501728648,17664,27080,12,15481.3333333333,14937.5,3182.63238356064,11387,22541,12,35700.4166666667,34224,4741.56270755984,29089,45618,12,27453.9166666667,27969.5,4204.76825477801,19454,33982
49,750200.362,6297033.136,26.249,"0",10,49.8,40.5,22.973027662892,27,100,10,23050.4,21338.5,4919.62433931698,17889,33478,10,15812.1,16876.5,2805.13837270107,11469,19001,10,42737.6,41995,9947.52033624461,30667,63598,10,31810.8,31597.5,3610.02858160431,26426,37307
50,750201.314,6297029.775,26.281,"0",10,89.8,89,28.7290793448032,29,127,10,19737.4,18266.5,6465.12264694182,11210,32146,10,11706.8,10991,2665.85310172935,8681,16679,10,32148.8,28130.5,15795.9175979112,12955,60260,10,37533.1,37378.5,7546.58588303347,21241,47299
51,750202.91,6297027.685,26.195,"4",8,51.75,43,20.1788874817221,34,94,8,17579.25,17313.5,2556.17955893165,14600,22523,8,10992.5,10723,772.611480629171,10061,12594,8,29516,30113.5,2958.46594538453,24088,33693,8,23086.125,22556,2161.66263773397,20155,26448
52,750197.245,6297034.287,26.187,"1",9,79.8888888888889,68,27.5093698964328,47,122,9,16786.8888888889,14399,6896.23542142047,9416,28065,9,11040.8888888889,9563,2632.4471692259,8560,15159,9,23604.5555555556,19030,12253.4775210152,10970,44584,9,26568,28151,6846.93256543071,17242,36530
