field_1,field_2,field_3,field_4,field_5,G_count,G_mean,G_median,G_stdev,G_min,G_max,B_count,B_mean,B_median,B_stdev,B_min,B_max,R_count,R_mean,R_median,R_stdev,R_min,R_max,RE_count,RE_mean,RE_median,RE_stdev,RE_min,RE_max,NIR_count,NIR_mean,NIR_median,NIR_stdev,NIR_min,NIR_max
5,771955.347,6307085.999,21.887,"8",9,0.00359873054549098,0.00359430722892284,0.000122770924278848,0.00342669268138707,0.00388615275733173,9,95.0579622056749,94.8108215332031,5.41629392823118,85.5039672851562,102.658363342285,9,0.00259129855678313,0.00260309060104191,6.83431968697609e-05,0.00247175083495677,0.00269931647926569,9,0.00715724932443764,0.00735277123749256,0.000486657583463814,0.00642494531348348,0.00796282663941383,9,0.0091766652961572,0.00906678382307291,0.000475631169175838,0.00849629938602448,0.0101091358810663
6,771949.456,6307093.43,21.885,"7",12,0.00320082730225598,0.00327760877553374,0.000239033024294929,0.00270251557230949,0.00354566657915711,12,70.1619838078817,69.4137153625488,4.53089812792668,59.8699226379395,78.8883285522461,12,0.00196491534006782,0.00195887178415433,5.77433092418054e-05,0.00188454263843596,0.00210134009830654,12,0.00751049680790554,0.00741843599826097,0.0008708605202979,0.00615655211731791,0.00948000513017178,12,0.0114987667184323,0.0112538323737681,0.00130566978429796,0.00947589427232742,0.0142080234363675
7,771945.258,6307101.973,21.857,"10",8,0.00406335198204033,0.0040892253164202,0.00029340142209097,0.00350331841036677,0.00448927097022533,8,103.017387390137,101.381301879883,7.9793981574329,87.0985870361328,113.835525512695,8,0.0029047871066723,0.0028799680294469,0.000109502483931466,0.00273659126833081,0.00310006644576788,8,0.00821787031600252,0.00825938628986478,0.000816601290349253,0.00664959708228707,0.00973423290997744,8,0.00994625024031848,0.0102280983701348,0.000941427314485365,0.00789772439748049,0.0113026788458228
8,771937.71,6307110.348,21.891,"9",9,0.00304874896796213,0.00310766231268644,0.000311356626225566,0.00255662808194757,0.00362009485252202,9,83.8348041110569,82.8868789672852,7.26732307694764,74.4436645507812,98.9254608154297,9,0.00223371815971202,0.00222295499406755,6.86250504666941e-05,0.0021284450776875,0.00237101828679442,9,0.00610391076447235,0.00571017200127244,0.00101229721999343,0.00503396335989237,0.00807660538703203,9,0.00876643053359456,0.00818081200122833,0.00152440372330681,0.00689627788960934,0.0118080256506801
9,771935.788,6307113.382,21.895,"7",9,0.00342343662244578,0.00337126129306853,0.000189058898273143,0.00309533346444368,0.00369543372653425,9,89.7525931464301,90.3695373535156,3.3419099977959,84.04833984375,93.9914398193359,9,0.00217290815069444,0.00215780129656196,8.74790931815177e-05,0.00201687053777277,0.0023155075032264,9,0.00816460833367374,0.00843279529362917,0.000724834119040692,0.00674453470855951,0.00921044964343309,9,0.0108898219962915,0.0108016356825829,0.00116342866331805,0.00887041352689266,0.0124167259782553
10,771935.697,6307113.406,21.891,"7",10,0.00292405483778566,0.00284150964580476,0.000276998880650216,0.00257822731509805,0.00332226580940187,10,98.564208984375,98.9988288879395,1.99960957346518,95.8443984985352,102.042663574219,10,0.00252978950738907,0.00254925584886223,0.000109905810146889,0.0023483142722398,0.00273208040744066,10,0.00560268368571997,0.00548572954721749,0.000855799150283617,0.00458168284967542,0.00698579009622335,10,0.0069011019077152,0.00652982085011899,0.00120603575631049,0.0054369498975575,0.00904833991080523
11,771924.693,6307118.574,21.916,"6.5",9,0.00333958326114549,0.00331039284355938,0.000171294572680803,0.00306961731985211,0.00357761536724865,9,109.028955247667,108.519248962402,3.24460456710762,103.234062194824,113.836181640625,9,0.00269627972092066,0.00267616403289139,0.000162540191941201,0.0025161150842905,0.00305984518490732,9,0.00706357286415166,0.00717454077675939,0.000853241818794118,0.00575754232704639,0.00842533819377422,9,0.00876329254565967,0.00860959477722645,0.00123119718680291,0.00670325430110097,0.0108454832807183
12,771921.406,6307124.554,21.915,"6",10,0.0028968924889341,0.00284393061883748,9.91184632501105e-05,0.00279100518673658,0.0030758345965296,10,114.00862197876,112.759746551514,4.36798346007541,107.152381896973,121.651962280273,10,0.00290615912526846,0.00290542549919337,8.40734241281236e-05,0.0027932149823755,0.0030182464979589,10,0.00488350787200034,0.00467377039603889,0.000494662021257664,0.00439878739416599,0.00580486562103033,10,0.00588229545392096,0.00560909858904779,0.000674144983148404,0.00515583669766784,0.0070084361359477
13,771912.468,6307142.848,21.898,"7",10,0.00337667805142701,0.00341070222202688,0.000173391782801861,0.00303383055143058,0.00367756956256926,10,101.896022033691,99.4050559997559,8.11596579636263,91.7485198974609,116.102844238281,10,0.002643071860075,0.00262530194595456,0.000101061941934893,0.0025163171812892,0.0027974711265415,10,0.00656448262743652,0.00651130313053727,0.000452682219192785,0.00571628334000707,0.00724115874618292,10,0.00858529722318053,0.00871748570352793,0.000403503408146932,0.00783140398561954,0.00927419494837523
14,771908.576,6307141.783,21.916,"7",9,0.00305588344215519,0.00306565593928099,0.000105869521447872,0.00291863782331347,0.00320893013849854,9,102.476877848307,102.898887634277,1.13251666968594,100.613662719727,104.071868896484,9,0.00258030548381309,0.00259877555072308,8.41428692523382e-05,0.00239178701303899,0.00265257200226188,9,0.00567933544516563,0.0056882188655436,0.000441677735746648,0.00467129191383719,0.00632936460897326,9,0.00729615613818169,0.00744306901469827,0.000644181168274725,0.00618254160508513,0.00837638042867184
