field_1,field_2,field_3,field_4,field_5,B_count,B_mean,B_median,B_stdev,B_min,B_max,G_count,G_mean,G_median,G_stdev,G_min,G_max,R_count,R_mean,R_median,R_stdev,R_min,R_max,RE_count,RE_mean,RE_median,RE_stdev,RE_min,RE_max,NIR_count,NIR_mean,NIR_median,NIR_stdev,NIR_min,NIR_max
"4","765190.375","6309180.024","20.766","11","9","52.4444444444444","53","35.0082882602617","11","103","9","15129.3333333333","14978","1757.38018399864","12861","18012","9","8322","8030","1064.54946130067","7248","10549","9","21769.7777777778","21586","1446.20336496618","19953","24731","9","21693.8888888889","21800","903.042197173833","20169","23001"
"5","765181.475","6309203.732","20.758","17","9","80.2222222222222","78","32.1274468252019","33","133","9","21457.1111111111","21949","2090.45744299846","17817","24744","9","12703.7777777778","12613","914.507612237048","11116","14421","9","29180.5555555556","28680","4023.91807711812","24387","35696","9","22212.4444444444","22007","2717.30827233746","19106","27446"
"6","765175.18","6309203.224","20.785","13","8","89.25","88.5","16.9687212246533","60","115","8","19670.5","20674","1620.90268060732","17236","21320","8","13980.875","14258.5","1227.06483503318","11462","15385","8","27035.625","28181","2795.88876466411","21210","29672","8","23377.125","23665","1660.19482572829","20373","25556"
"7","765167.474","6309199.449","20.858","8","12","73.3333333333333","69","37.8314977528279","23","132","12","15350.8333333333","15369.5","3318.53945869096","10943","20184","12","11793.0833333333","12032","1991.50142096917","8440","14998","12","20915.5833333333","20599","4963.68227660228","13623","27973","12","17614.25","17373","2601.99433528079","13378","21539"
"8","765159.726","6309196.969","20.803","7","9","41.3333333333333","35","15.9582789381144","26","80","9","12217.1111111111","12041","1637.35663965799","10123","16285","9","9625.66666666667","9154","1129.07868045884","8371","11528","9","15663.8888888889","15464","2556.3027748182","11908","21895","9","14071.5555555556","14197","1056.24135616304","12540","16450"
"9","765154.164","6309195.225","20.781","8","10","100","100.5","23.285188425263","59","136","10","18031.9","18444","1537.25374938557","15396","20232","10","13270.8","13304.5","607.752054706522","12426","14444","10","25007.5","25341","2370.29172255231","21227","29569","10","18784.1","19295","1481.9783702875","16336","20403"
"10","765143.428","6309196.661","20.788","7","11","32.2727272727273","30","17.6948421303082","2","62","11","9591.72727272727","9470","1157.60443007485","8066","11877","11","8056.90909090909","7949","893.621686737886","6581","10224","11","13791.4545454545","13421","1657.90000595695","11266","16095","11","14104.0909090909","14272","1149.84943319039","12213","15677"
"11","765137.009","6309196.099","20.78","10","12","64.4166666666667","68","35.0890731646699","12","113","12","12265.1666666667","11592","3540.07186446201","8434","19275","12","10894.0833333333","10973","2625.17940524495","6905","14971","12","14807.1666666667","13647","5012.40510855041","8798","25091","12","12562.9166666667","11738.5","2893.39810195363","9254","18397"
"13","765117.846","6309203.26","20.801","10","10","33.7","33","8.02558409089332","20","52","10","6213.5","6111","574.098815536141","5602","7678","10","6386.7","6214.5","651.192605916253","5617","7687","10","6722.1","6632","701.390112562189","5774","8246","10","6471.7","6419.5","210.133790714392","6169","6840"
"14","765110.436","6309206.662","20.783","10","12","43.5833333333333","29.5","38.6425032257947","3","122","12","11224.8333333333","9974.5","2800.1549312295","8027","17245","12","9009.41666666667","8427.5","1998.93244251081","6677","12980","12","14466.5","13401","3246.18918887979","10701","21255","12","14173.8333333333","13736","1971.16618753693","11733","18362"
"15","765109.489","6309208.111","20.782","13","9","42.6666666666667","39","23.2808934536456","14","99","9","11492.8888888889","11859","1711.14642820696","8704","14193","9","9737.11111111111","9723","1105.70926904604","8308","11962","9","14522.3333333333","15398","2094.7802324402","11563","17507","9","13842","13693","1145.34545977282","12104","16057"
"16","765107.288","6309213.308","20.827","10","11","56.4545454545455","37","34.7990690480589","20","112","11","12981.8181818182","12414","1824.72686963291","10410","16109","11","10276.0909090909","10369","1065.19946527702","8418","12030","11","16648.6363636364","15327","2555.04713611483","13695","21319","11","14959","15051","774.481762212642","13602","16264"
"17","765097.032","6309214.856","20.803","14","9","45.2222222222222","23","40.0632216427369","17","131","9","7528.22222222222","7013","1506.31815864436","6260","11478","9","7455.11111111111","7182","1013.85780774278","6440","9999","9","8117.22222222222","7361","1272.68707664599","7027","11041","9","8470.55555555555","8016","905.026962288492","7714","10629"
"18","765093.422","6309215.799","20.885","6","9","72.3333333333333","60","36.0585942907127","18","141","9","17315.1111111111","16854","1364.20456631893","15295","19085","9","12794.8888888889","13423","1474.50243543331","10417","14894","9","25355.4444444444","25335","2275.17999830593","21778","30162","9","21392.1111111111","21008","796.432663603346","20509","23154"
"19","765086.371","6309217.254","20.788","11","9","69.3333333333333","64","32.4858943748411","6","109","9","13830.1111111111","16408","3523.47557090516","7889","17495","9","11523.5555555556","12555","2742.3780074604","7130","14632","9","17752.2222222222","17359","3850.238514337","10156","23091","9","13065.5555555556","14507","2012.61798059206","9684","14893"
"20","765077.992","6309218.201","20.748","18","10","52.9","55","16.213882940246","30","76","10","9099.3","9162.5","808.292280057159","7766","10799","10","8403.3","8361.5","424.666469126066","7678","8983","10","9759.5","9537.5","1354.54555109823","8098","12506","10","8324.1","8301.5","683.02700532263","7374","9659"
"22","765075.048","6309218.716","20.821","12","9","58","46","27.4226184016042","18","109","9","10199.7777777778","8262","3205.26871044735","6460","15260","9","9304.77777777778","8220","2317.27166094467","6109","13292","9","11522.6666666667","9923","3597.8217175273","7983","17622","9","11275.3333333333","11706","2151.14140244972","8356","14243"
"23","765066.002","6309220.382","20.787","15","9","34.7777777777778","16","40.0410283411563","11","141","9","12137.6666666667","11410","2405.65163267207","9282","16403","9","9679","8846","1981.47532017041","7933","14221","9","16106.8888888889","15304","2420.58332934873","13335","21183","9","12718.6666666667","12809","1391.92456692164","10442","15358"
"24","765064.79","6309219.87","20.827","14","9","20.8888888888889","22","7.54901677842801","13","39","9","8461.44444444445","7410","2544.72605428522","6076","13873","9","6491.55555555556","6316","916.634558360226","5636","8597","9","11403","10326","3692.72943317902","7474","18168","9","9259.77777777778","9090","1000.30237403806","8216","11118"
"25","765062.743","6309219.497","20.784","20","11","63.7272727272727","64","4.82589434181345","57","72","11","7577.72727272727","7622","469.330488502523","6749","8548","11","9438.27272727273","9320","679.972070403576","8526","10860","11","6091.54545454545","6134","177.332437496443","5790","6355","11","5183.90909090909","5203","94.9702867843455","4983","5320"
"26","765059.322","6309219.605","20.795","11","8","52.75","47","14.497844667398","34","75","8","10239.125","10038.5","1550.83827634444","7884","12901","8","8224.125","8108.5","828.630562660466","7081","9526","8","12351.25","12225.5","1982.199078675","9669","15507","8","11731.375","11588","1065.71688753393","9974","13337"
"27","765052.202","6309219.954","20.822","10","10","22.5","17.5","13.9946418317869","5","55","10","11552.2","11212","1899.21377417078","9088","14857","10","9944.7","10389.5","1456.43853629324","7910","12355","10","13380.9","13028","2433.08583695685","10494","17931","10","11895.3","11633.5","1542.97161671886","10107","14474"
"28","765044.003","6309219.405","20.815","9","12","51.6666666666667","43","32.1178385878558","14","121","12","10720.5","11003","1356.04483087151","8668","13463","12","9234.33333333333","9038.5","1164.70971586152","7668","11761","12","13146.5","13466","1586.55551956642","10700","17019","12","12151.1666666667","12157.5","875.281843497028","10685","13763"
"29","765037.267","6309221.454","20.8","8","9","48.4444444444444","52","12.8936772714477","28","70","9","19483","19514","2274.52803407164","15479","24129","9","13472.8888888889","13209","1495.50017232767","10776","16311","9","27167.1111111111","26929","2891.61163999303","21828","32726","9","20062.1111111111","20174","1653.62621360481","17235","22826"
"30","765036.419","6309217.453","20.767","9","10","30.1","34","9.37496666660741","16","42","10","6525","6486.5","520.133828932516","5656","7607","10","5576.6","5544.5","178.097838279975","5346","5789","10","7772.1","7883.5","648.993135556918","6708","8965","10","7969.6","8065","423.018250197317","7306","8777"
"31","765033.723","6309216.46","20.684","20","10","76.5","79.5","14.9080515158756","54","109","10","10562.5","10399","533.527178314282","9614","11584","10","14358.2","14436","725.477608200281","13318","15418","10","9377.3","9503.5","658.876779071778","8178","10072","10","6806","6815","436.458016308556","6099","7556"
"32","765026.383","6309215.702","20.784","7","9","131","129","14.4144988736264","105","154","9","23212.5555555556","24870","3261.73243371307","18017","26731","9","15513.2222222222","15790","2467.00613780157","11673","18721","9","34338.7777777778","33477","1984.4977969685","30989","37078","9","27081.6666666667","26524","1395.11799580617","25498","29526"
"33","765011.712","6309214.496","20.666","10","9","59.6666666666667","66","21.6794833886788","22","93","9","14111.1111111111","14973","2674.74690160664","10209","18357","9","8462.66666666667","8776","1154.1464378492","6824","10483","9","16994.4444444444","15530","4594.61196792531","11886","26320","9","16872.3333333333","17400","3219.11416386558","12847","22751"
"34","765003.782","6309215.659","20.561","20","10","51.7","52","1.26885775404495","50","53","10","9031","9038","158.888010875585","8768","9302","10","10501.6","10501.5","246.68976468431","10155","10926","10","7626.5","7617.5","139.51433618091","7353","7922","10","5518.7","5514","66.9806688530355","5417","5620"
"35","765008.563","6309207.333","20.598","14","9","40.2222222222222","44","16.87718892982","17","73","9","10764.5555555556","9950","2314.27829456428","7575","15233","9","8216.44444444445","7697","1157.49155131173","6911","10515","9","11608.7777777778","11428","1991.63683535694","9267","15751","9","10064.4444444444","9770","997.34994539542","8545","12002"
"36","765014.479","6309201.538","20.637","11","9","54","57","7.40870359029762","42","67","9","14230.1111111111","13845","1171.21897036515","12793","16795","9","10750","10623","402.366610057158","10245","11425","9","18174","18504","1701.05405231253","16253","21556","9","14861.2222222222","14346","1250.29079086763","13674","17896"
"37","765021.972","6309198.5","20.741","5","9","34.4444444444444","32","18.6136814145528","13","74","9","12711","12548","1961.99020271651","9687","15804","9","8417.66666666667","8923","1044.39881697026","6959","9618","9","19147.4444444444","18604","3090.02700855191","14254","24198","9","20185.4444444444","19926","2451.41809803184","16624","23743"
"38","765026.557","6309195.629","20.808","9","9","71.7777777777778","70","27.9594062000917","33","115","9","15961","15616","2230.05645170201","13116","20068","9","11171.8888888889","10853","1321.65615333729","9277","13472","9","23719.2222222222","23178","2939.28025119445","19000","28873","9","19548.6666666667","20221","2227.4558980545","15861","22680"
"39","765054.155","6309194.304","20.867","8","10","26.8","12","26.2175513730783","3","81","10","22113.3","22476","2110.70036007009","18701","25103","10","14332.1","14625","1243.93813752935","11717","16199","10","34541.7","35493","2987.46404329826","30041","38072","10","26785.2","26828","1540.32268047965","24959","29108"
