field_1,field_2,field_3,field_4,field_5,B_count,B_mean,B_median,B_stdev,B_min,B_max,G_count,G_mean,G_median,G_stdev,G_min,G_max,R_count,R_mean,R_median,R_stdev,R_min,R_max,RE_count,RE_mean,RE_median,RE_stdev,RE_min,RE_max,NIR_count,NIR_mean,NIR_median,NIR_stdev,NIR_min,NIR_max
1,765203.614,6309182.434,20.798,base,10,102.971566772461,102.319259643555,14.9350827199723,80.3575057983398,135.81787109375,10,0.00501824012026191,0.00494734663516283,0.000307226271685058,0.0046328529715538,0.00558657059445977,10,0.00428268455434591,0.00414663413539529,0.000428900405671543,0.00371837988495827,0.00512246508151293,10,0.0121564810164273,0.0121442303061485,0.000831558853670114,0.0106677776202559,0.0136179644614458,10,0.0215380061417818,0.0217614630237222,0.00123296429267172,0.0199128538370132,0.0234243329614401
2,765207.962,6309173.674,20.877,llanta cerca base,10,73.6169282913208,49.9509983062744,45.5332323695253,29.0727043151855,148.778961181641,10,0.00429605672834441,0.00267235178034753,0.00332175587760219,0.00108361430466175,0.0107231950387359,10,0.00421829984989017,0.00316935800947249,0.00260211365578057,0.00147091108374298,0.00925608351826668,10,0.00580034470185637,0.00440504471771419,0.00310547014179372,0.00255755265243351,0.0116574401035905,10,0.00744715170003474,0.00672820373438299,0.00181799296754047,0.00554417492821813,0.0110279116779566
3,765183.644,6309290.302,21.166,valija amarilla,10,124.007495880127,123.36442565918,6.80073935533779,112.464561462402,135.358169555664,10,0.00301287651527673,0.00304100825451314,8.45706824005131e-05,0.00286495150066912,0.00311309844255447,10,0.00349855746608228,0.00341075053438544,0.000273797664675878,0.00314370216801763,0.00404260586947203,10,0.00642368644475937,0.00639771553687751,0.000250036973794542,0.00614739954471588,0.00681902468204498,10,0.0107128164730966,0.0105787320062518,0.000378185451415975,0.010303683578968,0.0114852823317051
4,765190.375,6309180.024,20.766,"11",9,45.9218637678358,43.2840042114258,20.1863998524421,17.055305480957,81.3847351074219,9,0.00329755939957168,0.00327575160190463,0.000268075653414726,0.00297897565178573,0.00382210244424641,9,0.00131102487082697,0.00131332722958177,9.90700565724394e-05,0.00117424421478063,0.00150070944800973,9,0.0114046790533596,0.0112011842429638,0.000527988837975571,0.0108284372836351,0.012201284058392,9,0.0275633701433738,0.0273079052567482,0.000879898290301557,0.0263860262930393,0.0294031575322151
5,765181.475,6309203.732,20.758,"17",9,76.3946740892198,77.7146377563477,12.1851838255029,60.7424049377441,98.5113677978516,9,0.00528067816048861,0.00523688085377216,0.000294354274900905,0.00491808308288455,0.00571369100362062,9,0.00219061906035576,0.0022432308178395,0.000159029078489715,0.00187268294394016,0.00236316747032106,9,0.0178804278580679,0.018882991746068,0.00204259774159582,0.0150697827339172,0.020244536921382,9,0.0326132103800774,0.0327378809452057,0.00424703529481746,0.0266981292515993,0.0387473329901695
6,765175.18,6309203.224,20.785,"13",8,64.9631834030151,64.0887794494629,13.935688377777,44.9103965759277,86.6824417114258,8,0.00448534137103707,0.00437668594531715,0.000561085646394813,0.00389132648706436,0.00539487088099122,8,0.00206091241852846,0.00210758007597178,0.00028576599166971,0.00154144747648388,0.00243061594665051,8,0.0142921106889844,0.0137615040875971,0.00188899565642237,0.0124198701232672,0.0176651775836945,8,0.0324346791021526,0.0318412370979786,0.00245678540937448,0.0293409265577793,0.0369456373155117
7,765167.474,6309199.449,20.858,"8",12,55.3612079620361,53.6908588409424,11.1748067831796,35.892879486084,76.8104019165039,12,0.00315693496183182,0.00317507644649595,0.000734840699546622,0.00208203867077827,0.00422759773209691,12,0.00141396099934354,0.00150535831926391,0.000271623046562576,0.000931813381612301,0.00176615815144032,12,0.0105242667486891,0.0105457841418684,0.00243077526510473,0.00669551640748978,0.013838954269886,12,0.0235919466552635,0.0236527509987354,0.00341042460720976,0.01761987619102,0.0277856290340424
8,765159.726,6309196.969,20.803,"7",9,43.5808446672228,41.8638458251953,9.9541351077927,28.8475551605225,65.5855560302734,9,0.00244326568726036,0.00234778225421906,0.000360384421625603,0.002035828307271,0.00327044748701155,9,0.00113944485524876,0.00105228659231216,0.00014411602567065,0.000967719242908061,0.00136274925898761,9,0.00801719228426615,0.00805135909467936,0.00122836903269005,0.0064082182943821,0.0108137736096978,9,0.0183283982591497,0.0189565178006887,0.00149471971572895,0.0161021519452333,0.0212298016995192
9,765154.164,6309195.225,20.781,"8",10,95.8352691650391,96.3116035461426,8.77852682955503,83.5495758056641,111.01586151123,10,0.00419142537284642,0.00442031491547823,0.000508445406919724,0.0033090200740844,0.00487716682255268,10,0.00192270742263645,0.00195543217705563,0.0001396740011758,0.00166380172595382,0.00213277176953852,10,0.0136579870246351,0.0144355967640877,0.00197946191920462,0.0100273787975311,0.01578713580966,10,0.0257556786760688,0.0270194793120027,0.00266800217211001,0.0198054891079664,0.0284709483385086
10,765143.428,6309196.661,20.788,"7",11,37.890175559304,35.7244758605957,12.1501604215214,21.807502746582,68.3612747192383,11,0.00179281954611228,0.00177104491740465,0.000265729760816317,0.00148763379547745,0.00239857658743858,11,0.000814192938957025,0.00082120718434453,0.00010332841244496,0.00065828807419166,0.00104834581725299,11,0.00622825536199591,0.00584949320182204,0.000917073185604383,0.00527713494375348,0.00791736971586943,11,0.0175818560475653,0.0172796603292227,0.00178581143197056,0.0152357071638107,0.0206500589847565
11,765137.009,6309196.099,20.78,"10",12,55.4566178321838,55.9021949768066,21.1647128327397,19.9168453216553,87.1459655761719,12,0.00242097131558694,0.002194729517214,0.000812051568953309,0.00145258917473257,0.00401462009176612,12,0.00119401180806259,0.0011621622252278,0.000349751813676921,0.00065686838934198,0.0017941155238077,12,0.00716732248353461,0.00655478937551379,0.00270377082456609,0.00378594128414989,0.0127366781234741,12,0.0153599434221784,0.0141288209706545,0.00419921681949054,0.0102672576904297,0.0240473914891481
12,765132.958,6309197.686,21.003,plataforma2,9,155.155373467339,159.823608398438,13.5216078132712,130.516983032227,169.363861083984,9,0.00642825999400682,0.00657843984663486,0.00156075909425186,0.00457956874743104,0.00933324638754129,9,0.00527602682511012,0.00536099588498473,0.00094930234748289,0.00401795282959938,0.00692510372027755,9,0.0126262442726228,0.0122633362188935,0.00203184122890565,0.0103007182478905,0.0163252148777246,9,0.0203424913601743,0.0196115542203188,0.00162265912833658,0.0184024944901466,0.0235370006412268
13,765117.846,6309203.26,20.801,"10",10,32.5418388366699,32.167799949646,4.12688793464449,27.451114654541,38.7838287353516,10,0.000802412262419239,0.000787747238064185,0.000108718061990146,0.000666231440845877,0.00104251806624234,10,0.000522707097115926,0.000508099765283987,7.84039085184194e-05,0.000407404790166765,0.000663159182295203,10,0.00209885974181816,0.0020932808984071,0.000283999153534435,0.00169647601433098,0.00264623900875449,10,0.00489577478729188,0.00489297579042614,0.000322403008777899,0.00445578154176474,0.00541340047493577
14,765110.436,6309206.662,20.783,"10",12,40.2769881089528,38.536449432373,15.8633419569602,15.4421472549438,66.9640045166016,12,0.00212999241193756,0.00199063296895474,0.000528548247100358,0.00148864544462413,0.00326253031380475,12,0.000957088981522247,0.00087646025349386,0.00022055079354138,0.000674127135425806,0.00139176449738443,12,0.00724594601585219,0.00681953388266265,0.00162324587022973,0.00552125135436654,0.0110270101577044,12,0.0162666323594749,0.0157908452674747,0.00194029752879074,0.0138541841879487,0.0201979819685221
15,765109.489,6309208.111,20.782,"13",9,45.3669827779134,43.3556022644043,10.2875615350756,35.016040802002,72.8522567749023,9,0.00225285969726327,0.00226183165796101,0.000373317541728984,0.00165524962358177,0.00281968712806702,9,0.00110687620730864,0.00112673395778984,0.000184805875319374,0.000863022112753242,0.00148310814984143,9,0.00742711659727825,0.00755265960469842,0.000974162876375881,0.00609053019434214,0.00897273421287537,9,0.0155296374319328,0.0149828223511577,0.00110160623227406,0.0138515429571271,0.0170408319681883
16,765107.288,6309213.308,20.827,"10",11,56.3165626525879,46.6857986450195,22.4868793909191,24.9409980773926,98.3901214599609,11,0.00268063929185949,0.00254996214061975,0.000459611661458606,0.00205433578230441,0.00343156233429909,11,0.00121675428024239,0.00121527013834566,0.000162947671058141,0.000944893050473183,0.00150974979624152,11,0.00876506282524629,0.0080793434754014,0.00133182130691451,0.00709969317540526,0.0111081106588244,11,0.0171379052441229,0.0171229392290115,0.00105253239133782,0.0156966838985682,0.0193804241716862
17,765097.032,6309214.856,20.803,"14",9,39.9216717614068,37.8187294006348,10.0890284011666,23.7281627655029,59.2188529968262,9,0.00118135797998144,0.00119013153016567,0.000214955199462826,0.000919780344702303,0.00168526091147214,9,0.000774746489090224,0.000752117310184985,0.000105401956575754,0.000644469575490803,0.00101980043109506,9,0.00324349175207317,0.00305837206542492,0.000496691454504247,0.00268697715364397,0.00436754105612636,9,0.00776834708328048,0.00743055855855346,0.000716922637066872,0.00709327450022101,0.00932545401155949
18,765093.422,6309215.799,20.885,"6",9,60.2986821068658,59.9543113708496,17.3643901200542,29.9698429107666,82.2794799804688,9,0.0039133728067908,0.00385349476709962,0.00029962639089237,0.00339708337560296,0.00450836401432753,9,0.00168697078091403,0.00168661365751177,0.000168857867459681,0.00140669115353376,0.0019569075666368,9,0.0127398713181416,0.0124744335189462,0.000963823733245557,0.0114823244512081,0.0145869823172688,9,0.025228341213531,0.0251131076365709,0.00109744482203773,0.0237849690020084,0.0274397507309914
19,765086.371,6309217.254,20.788,"11",9,58.6494144863553,59.2713394165039,10.4829501705132,42.3846817016602,73.2218780517578,9,0.00237754905699856,0.0024654227308929,0.000540046437860798,0.00136791914701462,0.00313175818882883,9,0.00119590252223942,0.00122147053480148,0.000259541257397028,0.000728533195797354,0.00150356639642268,9,0.00705957593810227,0.00752449221909046,0.00145615138918726,0.00408000871539116,0.00875107385218143,9,0.0123533767958482,0.0125384889543056,0.00194214089765859,0.00903506949543953,0.0152965243905783
20,765077.992,6309218.201,20.748,"18",10,47.2619735717773,45.1443767547607,7.29791731059154,35.3878021240234,64.4422302246094,10,0.00160369743825868,0.00152920361142606,0.00023291134825372,0.00136300560552627,0.00219307374209166,10,0.000967024185229093,0.000919573765713722,0.000119146790323677,0.00087757856817916,0.00128028786275536,10,0.00402892404235899,0.00382074096705765,0.000641573379067333,0.00337853818200529,0.00562894903123379,10,0.0077321017626673,0.0075567839667201,0.000879471540477619,0.00652419310063124,0.00957919657230377
